country_code	populationquartile_2021	age0to14_percent	age65over_percent	deathrate_per1000	physicians_per1000	risk_impoverishing_surgicalcare_percent	healthexpenditure_percentofgdp	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	Density_Diff_2022_2016
AUS	3	19.324773	16.5009676	6.3	3.7595	0.0	9.91078568	15.9810858	0.39857844	-0.2921069006
HUN	3	14.450273	20.5987982	14.5	3.4075	0.7	6.35002232	28.1595612	0.30962214	0.05001916200000012
PRT	3	12.8692531	23.1489906	12.0	5.3117	0.2	9.53145981	30.452877	3.31107855	-0.15882741100000008
RUS	4	18.4867519	15.9972607	14.6	4.4395	2.9	5.64849138	36.5737457	0.89999998	1.5430401932
GRC	3	13.4176102	22.6410468	12.2	6.2262	0.2	7.83788586	35.1769714	1.61979163	0.7663833100000002
CZE	3	15.8120407	20.4376032	12.1	4.1157	0.0	7.83470726	14.1500254	0.05268634	0.5099165183000001
PHL	4	29.5286813	5.72177004	5.979	0.6004	17.0	4.07676649	48.5594864	1.41477716	0.09522679307000001
CHL	3	19.0139359	12.700261	6.348	5.1824	8.5	9.33272362	32.8000259	2.0893302	0.9246888334000001
POL	4	15.2497506	19.3701485	12.6	2.3788	0.0	6.44682503	20.4448128	1.31569397	0.6086504399
MYS	4	23.2666734	7.44553196	5.254	1.5358	3.2	3.82514191	34.5738335	0.13060832	0.33197717860000003
GBR	4	17.6234823	18.8472021	10.4	5.8233	0.0	10.154027	17.0736084	0.36943042	0.34274904210000007
ARG	4	24.2727804	11.5039096	7.602	3.9901	4.3	9.5100708	27.6585159	2.53601456	1.6990434722999999
IRN	4	24.8365838	6.80209034	4.835	1.5844	15.8	6.71061659	39.4937477	3.45970011	1.9068115969000001
ROU	3	15.4899938	19.6578964	15.4	2.9807	0.4	5.74447823	18.8771687	2.19121432	-0.6719111469000001
CAN	4	15.7501216	18.5563886	8.1	2.4425	0.0	10.8444777	14.9146795	0.80000001	0.48748269790000004
THA	4	16.3014917	13.5357354	7.917	0.9188	4.0	3.78912091	8.66959858	0.27342901	0.20095234000000006
MEX	4	25.4873355	7.83283005	6.15	4.8496	5.2	5.43305254	42.122097	0.23062883	0.8747077604
PAK	4	34.6302473	4.3990594	6.844	1.1179	31.4	3.37992716	53.8084908	0.49841329	0.10000478653
ESP	4	14.2166099	20.318845	10.4	4.0299	0.1	9.13213158	21.8114548	1.12299538	0.356038552
USA	4	18.2440162	17.0373617	10.3	2.6036	0.2	16.7670631	11.3115778	0.7560901	0.5755468100000001
IDN	4	25.6212097	6.51187614	6.567	0.4651	10.5	2.90493584	34.7615585	0.87407577	0.07020993913000001
IND	4	25.7791118	6.77570042	7.301	0.9281	24.1	3.0141468	54.7816353	6.53457642	0.29825365009
KOR	4	12.2681828	16.5668262	5.9	2.4082	0.0	8.1641655	30.245081	2.86905599	1.409356924
EGY	4	33.8281977	5.43138295	5.748	0.7463	9.7	4.73997355	62.7481117	6.0967617	0.3707778044
ITA	4	12.7858698	23.607682	12.6	8.013	0.1	8.66856861	23.3148041	1.08317542	0.243742892
CHN	4	17.5954006	12.4131947	7.07	1.9798	6.1	5.3502779	35.2300186	9.18357563	0.6653749357
BRA	4	20.4506127	9.93873518	6.614	2.3106	13.4	9.5912714	24.8798466	1.88022995	0.4944453071000001
DEU	4	14.0386038	21.9770513	11.9	4.2996	0.0	11.6972494	12.8164005	0.09586816	1.3003066479999998
JPN	4	12.2989632	28.6980319	11.1	2.4796	0.0	10.7437248	12.9073572	1.89999998	1.952266194
IRQ	4	37.3022304	3.47727441	4.707	0.7079	12.6	4.47671509	50.0969658	0.87106323	-0.18886030040000001
NGA	4	43.3088077	2.75735737	11.422	0.3806	30.6	3.02666044	70.524025	4.09420729	-0.2191426949
TUR	4	23.5694305	9.2858252	5.484	1.8065	1.8	4.34409809	16.8898201	0.36360547	0.7923708799999998
