country_code	income_fy23	populationquartile_2021	country_war	age0to14_percent	age15to65over_percent	age65over_percent	people_per_sqkm	populationgrowth_percent	urbanpopulation_percentoftotal	urbanpopulationgrowth_percent	ruralpopulation_percentoftotal	ruralpopulationgrowth_percent	schoolenrollment_secondary_female_percent	schoolenrollment_secondary_male_percent	gdp_percapita_lcu	gdpgrowth_percent	deathrate_per1000	mortality_rta_per100000	physicians_per1000	surgicalprocedures_per100000	risk_impoverishing_surgicalcare_percent	risk_catastrophic_surgicalcare_percent	pushedbelow_60percent_poverty_healthcareexpenditure_percent	healthexpenditure_percentofgdp	healthexpenditure_percapita_usd	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	netofficialaidanddevassistance_2020usd	Density_Diff_2022_2016
RWA	1	3	1	39.2440319	57.5488534	3.2071147	538.164451	2.47304828	17.568	3.25021943	82.432	2.30819457	38.78909	32.92642	738107.517	10.8845192	5.047	29.4	0.1182	512.0	54.9	8.3	11.60073	6.41066742	51.3991242	11.6721802	0.1307219	1210410034.0	0.027558292429999996
LUX	4	1	0	15.5951192	69.7575983	14.6472825	262.99177	1.36293169	91.672	1.60208522	8.328	-1.2324626	85.22662	82.02628	99669.2616	6.88656771	7.3	4.1	3.0073	21933.0	0.0	1.5	20.46672	5.37075996	6220.74121	9.62240314	0.28100699		0.5496308830000001
COD	1	4	1	45.6129448	51.3595624	3.02749271	40.7481026	3.09642353	46.235	4.39606127	53.765	1.99215583			147395.121	5.71220368	9.118	34.9	0.0899		84.4	74.4	19.65092	3.53626084	20.5707321	38.4970055	0.61039168	3075760010.0	0.011978051551999998
MDG	1	3	0	39.8170662	57.0191824	3.16375144	48.8610055	2.62429751	39.207	4.35572931	60.793	1.52334601	31.03119	28.66958	746178.77	4.40234	5.819	29.2	0.1812	163.0	80.1	57.4	12.16457	3.68728375	19.8499756	32.5162506	0.63126212	769659973.1	0.03434736179
LVA	4	1	0	16.7687588	62.1835601	21.0476812	30.3295539	-0.9137895	68.421	-0.7587878	31.579	-1.2488037	94.93903	92.71269	14786.8728	4.4820954	15.2	8.1	3.3015	18395.0	10.2	87.2	9.337108	6.57814217	1166.79785	35.7198181	5.70008898		-0.09455905500000017
SVN	4	2	0	15.105228	63.6273502	21.2674217	104.636728	0.21798705	55.427	0.77708283	44.573	-0.4729226	96.62219	94.81207	22265.2962	8.1145581	11.4	5.1	3.1721	7579.0	0.0	0.5	7.000299	8.52386475	2219.10059	11.6613169	0.31002721		0.03295124810000005
GHA	2	4	1	36.888026	59.9019814	3.20999262	139.457361	2.09921643	57.985	3.2021104	42.015	0.59681557	57.88249	56.6328	5516.72264	5.3564779	7.145	25.7	0.1064	869.0	18.1	16.6	14.58403	3.41858864	75.281662	36.2175407	0.11108952	948530029.3	0.0047021317100000015
MOZ	1	4	0	43.7971564	53.3451728	2.85767079	40.900131	2.86248416	37.628	4.34574133	62.372	1.97818456	19.3244	19.23149	21212.9803	2.22481927	7.951	30.0	0.0846	367.0	65.6	23.1	12.92875	7.83351135	39.4609413	9.97822762	0.40306348	1941439941.0	-0.004520908930000001
TKM	3	2	0	30.6337084	64.3716725	4.99461909	13.0188177	1.42804539	52.998	2.34167574	47.002	0.40777838			10369.4866	6.3	7.044	13.5	2.2247	2698.0	3.5	7.2		6.56862497	500.006439	76.7882309		26000000.0	-0.4156656113
JAM	3	2	0	23.1493044	67.5518747	9.29882094	274.557895	0.41455094	56.652	1.01833078	43.348	-0.3690804	76.31102	71.72318	284954.831	4.6	7.612	15.1	0.4549		10.4	9.6		6.09748316	327.403534	16.4376068		129809997.6	-0.18454552879999997
ZWE	2	3	0	41.3216959	55.6222296	3.05607457	39.0129792	1.53061409	32.303	1.719628	67.697	1.44054802	48.51255	48.96004	1241.32449	5.84941976	7.692	41.2	0.2096				1.816996	7.70356494	103.028272	24.3766229	7.02517605	988039978.0	0.0732862242
URY	4	2	0	20.2202717	64.506502	15.2732263	19.9128785	0.32835778	95.603	0.42046186	4.397	-1.6535507	91.12043	85.42257	497339.539	4.36700931	9.477	14.8	4.9398		1.7	2.8	13.94096	9.34783173	1660.95288	15.4614582	0.16628216	43849998.47	0.1826772700999999
SGP	4	2	0	12.4131928	73.3213537	14.2654535	7691.91255	-4.1703363	100.0	-4.1703363	0.0		99.79816	99.7717	90979.2968	7.61396262	5.2	2.1	2.2936					4.08152914	2632.71387	30.1511288	1.47486424		0.6792676791
MRT	2	2	1	39.5018847	57.2818395	3.21627587	4.63288057	2.66229117	56.133	4.1085717	43.867	0.84159984	31.72382	30.24987	52651.6758	2.29974854	7.026	25.6	0.1865		30.0	48.2	8.797981	3.30329728	57.8848457	45.0210877	2.94621015	421299987.8	0.1210972589
MWI	1	3	0	42.5065061	54.8414103	2.65208357	208.397126	2.6703885	17.695	4.19653044	82.305	2.34529867	34.76096	33.7171	378997.756	2.75141641	6.26	33.4	0.0358		67.4	22.0	8.990644	7.39341164	30.4002876	16.8648796	1.02094924	1227180054.0	0.00837918365
NER	1	3	1	49.5418673	47.8647192	2.5934135	19.8395911	3.7467773	16.751	4.49580747	83.249	3.59673639	17.06071	22.96816	301603.251	1.35205375	7.817	25.5	0.0433	263.0	72.0	74.2	14.99128	5.6686306	31.3976364	46.0952911	0.90559626	1521439941.0	0.005895418159999999
KWT	4	2	0	21.1474512	75.4761063	3.37644246	242.904209	1.34876374	100.0	1.34876374	0.0		88.71225	84.50138	8431.21174	-8.8552789	2.919	15.4	2.6463					5.49601221	1758.67419	11.7942419			-0.18635369809999996
DOM	3	3	0	27.1692778	65.0638145	7.76690768	226.738025	0.97066952	83.213	1.78272489	16.787	-2.9601041	74.54667	66.76219	251126.663	12.2719902	6.233	64.6	1.4518		5.8	13.6	11.6687	5.929142	491.059357	42.9484558	0.94140357	136589996.3	0.08312056150000002
SRB	3	2	0	15.2413151	65.3521969	19.406488	78.2538075	-0.8010984	56.651	-0.4385764	43.349	-1.272891	92.5323	91.62383	771458.595	7.38927089	16.9	7.5	3.1131		1.9	8.2	11.74817	8.67206478	641.025024	37.040184	0.53041565	585349975.6	0.27722114399999986
YEM	1	4	1	38.4158286	58.6121282	2.97204322	57.7507036	2.2040295	38.546	3.8730477	61.454	1.17120535	40.19504	54.71941	6782.45761	-2.0615131	5.976	29.4	0.5251	158.0			9.674103	4.25285769	73.1767426	80.9572372	4.15904951	4470379883.0	0.20575596199999996
UZB	2	4	0	28.7453121	66.2292343	5.02545353	79.2525337	1.97570607	50.427	1.99752135	49.573	1.95351985	90.35013	91.34043	4315013.08	7.42011024	5.1	11.7	2.3742	2584.0	24.9	31.2		5.61760426	98.5731659	57.6849709		1170550049.0	0.35483552523999995
MKD	3	1	0	16.2068376	68.8923481	14.9008142	81.8831086	-0.3595788	58.786	0.15885954	41.214	-1.0944383			222340.203	3.96426417	12.4	5.1	2.8736					7.25409985	436.887177	40.3825684		144990005.5	0.2470346268
MDA	3	2	0	15.8120029	71.1655189	13.0224783	89.6142718	-1.7930094	42.998	-1.445849	57.002	-2.0540861	77.59551	78.29615	50192.9588	13.9445896	11.776	7.3	2.5586	4898.0	1.5	6.8	6.415763	6.3779459	284.307129	35.6940308	3.56346226	352040008.5	1.067249185
BLR	3	3	0	17.2834677	66.617589	16.0989433	46.0159326	-0.4234775	79.91	0.11231082	20.09	-2.526658	96.18075	95.12669	8810.08925	2.50674235	13.0	7.6	5.1905	8741.0	0.1	3.1	11.19358	5.86133957	399.397095	25.6900635	0.60000002	221089996.3	0.9383731607
UGA	1	4	1	45.5485541	52.4391286	2.01231737	235.006648	2.97774643	25.553	5.34980409	74.447	2.17636752	21.04045	23.74499	2773192.34	3.37963342	6.242	29.4	0.168	241.0	68.7	64.7	12.60823	3.82522416	32.4084435	38.2602882	3.77238584	2132649902.0	0.00588889276
LBY	3	2	0	27.4008943	67.9781741	4.62093154	3.9547484	1.26179699	80.994	1.63659902	19.006	-0.3198563			13138.1333	31.3724222	5.119	21.3	2.0905					6.05012751	309.878662	36.6682816		323109985.4	0.3559735136
DNK	4	2	0	16.27792	63.3797889	20.3422911	146.418325	0.43341449	88.24	0.5740343	11.76	-0.6154507	92.25643	89.6541	394157.838	4.69343302	9.4	3.7	4.2247	21197.0	0.0	0.1	9.671734	9.95583057	6003.3252	14.1692524	0.49398193		-0.06288450900000009
ALB	3	2	0	17.0755113	67.6845231	15.2399656	102.615547	-0.9269181	62.969	0.44340448	37.031	-3.2148042	89.1819	84.32964	574825.64	8.54408325	8.263	11.7	1.6471	1900.0			6.566845	5.23207188	274.914093	44.5841179	4.9453969	31409999.85	0.23052785590000002
GTM	3	3	0	32.883929	61.9696863	5.14638468	159.665416	1.48031681	52.245	2.26625511	47.755	0.62750019	42.97926	44.54363	31823.1191	7.52762878	4.706	22.9	0.3549	1505.0	17.7	33.6	13.24103	6.21161032	271.021271	55.9891777	3.7795701	398079986.6	0.12244636720000002
IRL	4	2	0	20.4747149	64.6218362	14.9034489	72.9892582	0.84994336	63.912	1.25600253	36.088	0.13483219	98.72828	97.33072	79844.4838	13.478658	6.4	3.1	3.352	3053.0	0.0	0.7	9.565082	6.67931509	5428.58887	11.7155657	0.47965041		-0.09642555789999996
CRI	3	2	0	20.5774333	68.7801953	10.6423714	100.647336	0.87830657	81.425	1.68474053	18.575	-2.5819814	84.30884	80.66948	7249747.36	7.5795653	5.227	14.8	2.8939	3746.0	7.3	7.5	11.22145	7.27393246	921.585754	22.324564	1.12851179	60110000.61	-0.14024081740000005
NPL	2	3	0	28.0678667	66.0211923	5.91094096	207.010255	1.829999	21.008	3.90778641	78.992	1.28460069	62.81848	60.93904	80246.6361	4.24694014	6.288	16.3	0.8091	209.0	60.3	59.7	13.33882	4.44515085	53.2464027	57.9130402	2.10224247	1381459961.0	0.27521168005999996
ARE	4	3	0	14.8920603	83.6594289	1.44851077	140.679851	1.01284055	87.299	1.30078202	12.701	-0.9441742	90.32952	95.1514	143459.852	-6.1345008	1.582	8.9	2.5278		0.1	2.8		4.27504921	1842.69446	12.5074921			0.1303990075
LTU	4	2	0	15.5612444	63.3316133	21.1071423	44.6323008	0.01559871	68.249	0.31352514	31.751	-0.6218079	98.3545	98.49294	16288.4889	5.00350077	15.6	8.1	5.0399	10189.0	2.7	36.4	8.073183	7.00600433	1369.97949	32.2702217	2.66561794		1.565380212
PRY	3	2	0	28.6313663	64.3793498	6.98928395	18.1717619	1.21392185	62.496	1.71601876	37.504	0.3827968	65.97249	65.80062	29828298.8	4.19988167	5.587	22.0	1.3544		15.5	24.8	17.7392	7.17281008	388.39325	41.6250839	1.93376207	132220001.2	0.24035676820000001
SVK	4	2	0	15.588436	67.1879043	17.2236597	113.295487	-0.2123588	53.82	-0.1008119	46.18	-0.3422032	85.3043	84.23779	16154.0327	3.02047175	10.8	6.1	3.517	8786.0	0.0	0.0	10.96766	6.9586463	1342.07483	19.1593475	0.04252543		0.38154345329999995
ZMB	1	3	0	43.5724225	54.2700143	2.15756318	25.4518584	2.87759605	45.192	4.13120984	54.808	1.85561954			7540.79297	3.5728153	6.216	20.5	0.0925	680.0				5.31220293	69.324379	10.2316017	0.00912042	987309997.6	-0.012814085770000004
AGO	2	4	0	46.1508192	51.6428962	2.20628457	27.2187463	3.19591551	67.46	4.14167049	32.54	1.26327124	10.07569	12.52422	43596.499	0.7	7.798	26.1	0.2146		39.0	49.4	19.87138	2.53335953	71.326004	37.4648705	12.4773035	49229999.54	0.01825813269
SLV	2	2	0	26.3072987	64.8652243	8.827477	314.599421	0.49672909	74.118	1.41026299	25.882	-2.0741043	62.55455	61.12096	3953.03367	10.8008686	7.102	20.9	2.8699	2797.0	7.1	11.3	2.573509	7.16578436	300.053284	28.3723183	0.30440146	307000000.0	0.12761436199999998
KEN	2	4	1	37.9866979	59.4174562	2.59584592	96.6119092	2.23333202	28.493	3.99658649	71.507	1.53930967	45.79807	49.04343	170802.293	7.51735539	5.345	28.3	0.1565		36.4	21.1	10.5901	4.59182692	83.4116287	24.2997627	1.2657764	3290439941.0	0.038257875250000004
NOR	4	2	0	17.1264978	65.0842263	17.7892759	14.8129381	0.53477228	83.323	0.95448409	16.677	-1.5362363	95.62558	95.59103	625328.013	3.92266521	7.5	2.1	4.885		0.0	0.1		10.5213471	8007.39795	13.8597908			0.311258276
BOL	2	3	0	29.8029822	62.5808548	7.61616302	10.9230462	1.36058628	70.475	1.86131146	29.525	0.17541339	76.97286	76.15256	4030.92317	6.1058042	6.762	21.1	1.0299	2305.0	11.1	7.9	12.60019	6.9233799	245.923477	23.8687553	0.80539107	736549987.8	-2.5532128671
FIN	4	2	0	15.6476508	61.3971696	22.9551795	18.2340616	0.21954191	85.596	0.31188236	14.404	-0.3274406	96.3946	95.82859	41884.47	3.47454718	10.0	3.9	4.6404	8850.0	0.0	0.1	10.82723	9.15348339	4450.30273	17.4489651	0.65809578		1.1243843491999999
SWE	4	3	0	17.6552477	61.8750535	20.4696989	25.5721956	0.60059153	88.238	0.89681377	11.762	-1.5941051	99.46348	99.80837	452887.922	4.80061158	9.5	3.1	4.331	17480.0	0.0	0.1		10.8674927	5671.38574	13.8763819			0.03824588799999984
ECU	3	3	1	27.1675981	65.0131328	7.81926911	72.0263891	1.38140899	64.361	1.68484851	35.639	0.83574504	86.0294	83.3652	3862.19283	4.23525124	5.139	20.1	2.22	1552.0	15.1	23.1	14.82015	7.81824684	486.492157	30.8784161	2.44082022	542770019.5	0.0482956712
BGD	2	4	0	26.3111507	68.3580955	5.33075378	1277.58696	0.97532238	38.946	2.96960545	61.054	-0.2763521	72.27917	61.06971	170407.989	6.93867509	5.524	15.3	0.6367	161.0	43.8	55.3	8.688302	2.48357606	45.8571625	72.6763535	8.44791508	4527919922.0	0.011783400619999995
BGR	3	2	0	14.6675718	63.5831561	21.7492721	63.551262	-0.5044419	76.025	-0.0575424	23.975	-1.9085005	87.85868	90.18541	14633.1712	4.17787358	18.0	9.2	4.2071	6884.0	3.2	9.4	12.39617	7.12611389	697.896362	38.9731331	3.06731963		1.6559805956
UKR	2	4	1	15.9076306	66.7792943	17.3130751	75.6206093	-0.7219592	69.757	-0.508134	30.243	-1.213421	86.08094	85.29221	62718.4414	3.4	15.9	10.2	2.9923	5337.0	0.8	7.5	11.11484	7.09860182	248.133484	51.1189232	1.15282059	1181150024.0	0.8027158624
HRV	4	2	0	14.470272	63.8682974	21.6614306	68.8990988	-3.7423767	57.878	-3.1792664	42.122	-4.510986	94.05053	90.81997	102108.694	10.4488725	14.1	7.9	2.9996		0.1	1.1	10.16859	6.97861767	1040.08569	11.4647665	0.25680777	259999.9905	0.785954091
BFA	1	3	1	44.0888062	53.4809492	2.43024453	78.571261	2.8011914	31.24	4.84825292	68.76	1.88480831	31.69258	30.33627	449581.573	6.90634167	7.71	31.0	0.094	328.0	54.2	40.8	12.9931	5.46494246	42.3445282	34.6935616	0.41735455	1175199951.0	0.044968599899999996
VEN	3	3	1	26.5359875	65.2997214	8.16429108	32.5434465	0.94155337	88.325	0.99364608	11.675	0.54833268	76.7969	69.83931	1990.82351	-3.8943865	7.218	39.0	1.73		11.5	24.4		5.36708355	338.825378	18.4640961		291440002.4	-0.5964433787000001
JOR	3	3	0	32.0966916	63.8607614	4.042547	115.668191	0.64362745	91.626	0.87088918	8.374	-1.8098389	63.52398	61.68659	2944.58421	2.20976477	3.916	17.0	2.3237	2982.0	7.4	15.9	13.9907	7.58246946	334.04422	30.2898254	0.25369781	2820679932.0	0.2688878427
KHM	2	3	0	30.6967812	64.317941	4.98527773	96.0029798	1.35140736	24.668	3.13467984	75.332	0.77430643	36.66987	39.91728	3333187.91	3.02638936	5.999	19.6	0.1927					6.98908329	113.31044	64.3912506	4.92094421	1004650024.0	0.13847230370000002
NIC	2	2	0	29.1078624	64.9897163	5.9024213	55.6953548	1.16794891	59.277	1.61599487	40.723	0.51933361	52.40421	44.6393	27984.2426	10.344929	5.091	16.9	1.6645	4860.0	32.1	33.1	21.41328	8.4039259	160.758789	34.4112053	9.10280228	398390014.6	0.0808794156
SDN	1	4	1	39.4621205	56.816904	3.72097545	24.2853841	2.38879877	35.593	3.34863132	64.407	1.86229605	30.72621	32.25343	447.380157	0.11458821	7.047	26.8	0.2618		46.4	71.1	17.26972	4.57356596	46.9288406	67.3834229	3.3365705	1651199951.0	0.051677129599999996
GEO	3	2	0	20.2599148	64.1789653	15.5611198	64.8834809	-0.3796366	59.872	0.32266641	40.128	-1.4184058	96.84329	95.15542	11180.988	10.3589427	12.746	12.4	7.0784	5488.0	12.4	35.7	15.75145	6.65744257	291.12204	46.7677536	9.7379694	511929992.7	1.7823034849
TUN	2	3	1	24.220624	66.5904308	9.18894523	76.8264933	0.98631865	69.888	1.4452507	30.112	-0.0707855			7628.10567	3.34280247	6.258	16.5	1.3025		0.8	6.0	14.75786	6.95845938	233.059311	37.937809	2.36132622	1006349976.0	0.17397662300000005
BIH	3	2	0	14.2707477	67.197881	18.5313712	63.7394336	-0.5304191	49.425	0.29237381	50.575	-1.3280152			10319.4365	7.10223883	11.054	13.5	2.1616		1.2	2.9	7.848919	9.04909897	553.822937	29.3528118	1.38621235	475029998.8	0.9335937039
SEN	2	3	0	42.2863789	54.5841516	3.12946953	89.3175505	2.66589051	48.6	3.65430196	51.4	1.74022347	39.42459	35.9396	824758.081	6.06449597	5.481	23.5	0.0881		27.7	37.4	18.61763	4.13226938	59.0975838	50.9905472	0.19358054	1474060059.0	0.08204055563
ISR	4	3	0	27.7164123	59.7032074	12.5803803	432.71719	1.60291067	92.674	1.69682382	7.326	0.42246115	100.0	98.03686	155135.562	8.18804046	5.3	3.9	5.4667	4879.0			15.47508	7.46131897	3456.38696	20.9799728	1.84237993		0.07063072689999994
NLD	4	3	0	15.54515	64.0039983	20.4508516	520.742649	0.52554946	92.572	0.8891721	7.428	-3.8985731	93.74044	92.61802	43644.46	5.03590202	9.7	4.0	3.7066	16639.0	0.0	0.1		10.130311	5335.30127	10.5773087			0.1571924909000001
ZAF	3	4	0	28.5924548	65.7749724	5.63257276	49.4950878	1.22884124	67.847	1.95812912	32.153	-0.2928167	78.52272	65.42324	74780.5669	4.91460266	9.375	22.2	0.7923		27.5	15.0	16.64938	9.10935497	546.688416	5.69271421	0.12076421	982770019.5	0.35533041875000004
COL	3	4	1	21.8867868	68.7186833	9.39452982	46.206256	0.74980631	81.74	1.13591869	18.26	-0.9605637	80.16872	74.88658	17665552.6	10.5632927	5.706	15.4	3.8441	27385.0	11.4	8.1	12.21471	7.70943594	495.329712	14.8569613	2.22923827	911440002.4	0.41960541549999997
HND	2	3	0	30.1067049	64.7803322	5.11296294	89.9364912	1.58646313	58.982	2.64833667	41.018	0.07903523	46.71862	40.95284	22471.036	12.534096	4.465	16.1	0.3089		32.1	46.5		7.2839179	187.554337	52.6090965		463980011.0	-0.053154400100000054
CIV	2	3	1	41.3525187	55.7363857	2.91109559	85.074305	2.52804006	52.18	3.44058694	47.82	1.54170134	35.05883	45.34263	1427445.38	7.02150184	9.707	24.1	0.1623		48.2	68.7		3.29862952	75.0877914	37.2936745	3.37089634	1230800049.0	0.024281765009999998
SYR	1	3	1	30.6870948	64.4190303	4.89387494	99.5246093	4.33341044	56.124	5.49652016	43.876	2.86507024	48.07895	48.90337	40652.4985	1.47576648	4.827	14.9	1.2874	1617.0	14.0	37.1	11.9285	3.56564736	69.8301086	53.6898613		10403209961.0	0.6076839599999999
SAU	4	4	1	24.5423865	71.807138	3.65047557	16.439896	1.50189239	84.508	1.7637494	15.492	0.08542495	94.10711	98.52917	73985.6389	3.24092977	3.545	35.9	2.6117	3399.0				5.68828773	1316.26025	16.499958	0.57999998	289999.9917	0.323095886
PER	3	4	0	24.6730144	66.3727707	8.95421497	26.0620438	1.16860255	78.5	1.42753892	21.5	0.22883628	87.71031	90.92061	16538.479	13.3495091	5.662	13.6	0.82	3005.0	7.6	8.6	15.93418	5.21506882	370.109955	28.1324158	1.14103663	486470001.2	-0.2689633404999999
MAR	2	4	0	26.4825741	65.5874587	7.92996721	83.6764217	1.16956954	64.065	2.00501687	35.935	-0.3027711	64.49911	64.48602	26687.9414	7.37272762	5.064	17.0	0.7308	756.0	12.8	23.5	14.39771	5.30845118	174.22377	46.8105125	6.43893576	785869995.1	0.22723617920000005
KAZ	3	3	0	29.1814587	62.6501438	8.16839749	7.0387769	1.30791817	57.821	1.56767557	42.179	0.95292321	93.25123	92.59102	788942.96	4.0	8.6	12.7	3.98	4459.0	0.1	1.1	7.768281	2.78745675	272.96524	33.8638268	0.11997223	56639999.39	0.7372154534
BEL	4	3	0	16.9607351	63.4651144	19.5741505	382.690951	0.3773199	98.117	0.41605623	1.883	-1.6206189	95.08123	94.81871	38564.0361	6.24472195	11.0	5.8	5.9556	20712.0	0.0	0.0	11.30255	10.6560497	4960.39355	18.1728878	1.39449883		1.1821176890000002
VNM	2	4	0	23.1689003	68.6219587	8.20914108	316.602151	0.84932943	38.052	2.73818036	61.948	-0.2934669			52112310.6	2.5889245	6.444	30.6	0.8281		19.1	21.7	19.50669	5.24965572	180.718185	42.953186	1.7339083	1117229980.0	0.43217371698999996
AUS	4	3	0	19.324773	64.1742594	16.5009676	3.34622843	0.17883242	86.362	0.31903915	13.638	-0.7044852	92.69355	91.89515	78094.2153	1.47516288	6.3	4.9	3.7595	10156.0	0.0	0.4	14.95402	9.91078568	5427.4624	15.9810858	0.39857844		-0.2921069006
HUN	4	3	0	14.450273	64.9509288	20.5987982	106.39805	-0.4138025	72.245	0.0064864	27.755	-1.4995836	89.51638	89.05489	4325920.2	7.09661223	14.5	7.7	3.4075	13827.0	0.7	30.3	12.5111	6.35002232	1062.39417	28.1595612	0.30962214		0.05001916200000012
PRT	4	3	0	12.8692531	63.9817564	23.1489906	112.432242	0.02274172	66.849	0.83230658	33.151	-1.5900794	95.3391	94.01344	18685.6363	4.8812101	12.0	8.2	5.3117	8439.0	0.2	5.0	12.71895	9.53145981	2221.43921	30.452877	3.31107855		-0.15882741100000008
AUT	4	2	0	14.4703403	66.0507217	19.478938	108.534646	0.44105353	58.995	0.86062087	41.005	-0.1595178	87.11869	86.88993	40640.1397	4.48396921	10.3	4.9	5.2114	13795.0	0.0	0.2		10.4340315	5242.18311	19.0719128			0.03391584599999997
DZA	2	4	1	30.9150934	62.1665458	6.91836074	18.7327782	1.73080657	74.261	2.4443517	25.739	-0.2997973			422931.373	3.84779349	4.718	20.9	1.7193		5.8	9.7		6.24337101	248.205872	33.4437561		182110000.6	0.7517499123
RUS	3	4	1	18.4867519	65.5159875	15.9972607	8.75906446	-0.4362004	74.934	-0.1956994	25.066	-1.1517406	90.97303	90.39799	640481.063	4.81979166	14.6	12.0	4.4395	6622.0	2.9	22.1	15.95212	5.64849138	653.417236	36.5737457	0.89999998		1.5430401932
GRC	4	3	0	13.4176102	63.9413431	22.6410468	82.7352056	-0.3368858	80.038	0.06749228	19.962	-1.9420218	92.61503	94.04781	16972.5721	8.33610201	12.2	8.3	6.2262		0.2	5.7	10.81862	7.83788586	1500.59497	35.1769714	1.61979163		0.7663833100000002
MMR	2	4	1	25.1122249	68.4189008	6.46887425	83.9565772	0.7255758	31.448	1.70658478	68.552	0.27874127	66.63893	61.49661	1376398.37	-17.984742	8.253	20.4	0.7369	668.0			10.6808	4.67856407	60.015873	75.954689	3.46828556	2099520020.0	0.12678841548
AFG	1	4	1	41.1981867	56.1122928	2.68952049	61.0167999	2.30341213	26.314	3.40392482	73.686	1.91332459	36.69527	62.88953	33108.7665	-2.3511007	6.157	15.9	0.2782	229.0			8.329476	13.2422018	65.8060303	79.2986145	5.61390448	4339979980.0	0.06782173329999999
CZE	4	3	0	15.8120407	63.7503561	20.4376032	138.645674	0.05222112	74.214	0.25858439	25.786	-0.5393418	91.49009	89.59659	482356.523	3.34265301	12.1	5.9	4.1157	6268.0	0.0	0.1	9.249088	7.83470726	1844.21777	14.1500254	0.05268634		0.5099165183000001
PHL	2	4	0	29.5286813	64.7495487	5.72177004	372.428179	1.32879471	47.684	1.90928721	52.316	0.80261782	71.3301	60.15612	166938.944	5.70315597	5.979	12.0	0.6004		17.0	24.8	21.16679	4.07676649	142.078766	48.5594864	1.41477716	905359985.4	0.09522679307000001
CHL	4	3	0	19.0139359	68.2858031	12.700261	25.839321	0.50173121	87.817	0.60426801	12.183	-0.2342764	89.88541	87.45981	10432077.5	11.6682247	6.348	14.9	5.1824		8.5	16.6	13.44245	9.33272362	1375.80298	32.8000259	2.0893302	73699996.95	0.9246888334000001
ETH	1	4	1	39.5622792	56.8733346	3.56438623	104.379868	2.50197331	22.174	4.6858345	77.826	1.88838409	30.3126	31.30377	18901.8689	5.63730301	6.289	28.2	0.0769	43.0			9.40839	3.23808599	26.7422047	37.8753204	0.26520482	4893290039.0	0.036927698829999994
POL	4	4	0	15.2497506	65.3801009	19.3701485	123.398844	-0.3119608	60.075	-0.2586823	39.925	-0.3920752	94.23769	93.93706	58614.478	5.7325817	12.6	9.4	2.3788	1515.0	0.0	0.1	11.89295	6.44682503	1014.03821	20.4448128	1.31569397		0.6086504399
MYS	3	4	0	23.2666734	69.2877947	7.44553196	99.7601431	1.25940624	77.696	1.95166343	22.304	-1.1153232	75.42821	69.18652	42286.1251	3.13258966	5.254	22.5	1.5358		3.2	10.4	19.68993	3.82514191	436.61203	34.5738335	0.13060832	9069999.695	0.33197717860000003
CHE	4	2	0	15.017921	65.5961096	19.3859694	220.106195	0.70567961	73.996	0.81520421	26.004	0.3946753	83.93147	86.66088	84905.2653	3.69215263	8.8	2.2	4.3328	25923.0	0.0	2.9		11.291481	9666.33789	25.2931824			0.320206231
GBR	4	4	0	17.6234823	63.5293156	18.8472021	278.28946	0.36540989	84.152	0.66174182	15.848	-1.1935518	97.23472	97.03468	30245.9609	7.44127309	10.4	3.2	5.8233	10487.0	0.0	0.1	8.797263	10.154027	4312.88916	17.0736084	0.36943042		0.34274904210000007
