	populationquartile_2021	age0to14_percent	age65over_percent	deathrate_per1000	physicians_per1000	risk_impoverishing_surgicalcare_percent	healthexpenditure_percentofgdp	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	Density_Diff_2022_2016
0	0.0	0.3076705899573733	0.23939470171646182	0.2047713717693837	0.3053577696434839	0.026476578411405296	0.21159309316759067	0.27053273052833793	0.10200063045132093	0.5414729490264986
1	0.3333333333333333	0.8254246370519125	0.030154162786062005	0.5542459528543028	0.004550468836183122	0.7637474541751528	0.38612051603763564	0.7002274985270841	0.0959083259436944	0.5414729490264986
2	0.0	0.7893329783375722	0.033908894550405744	0.38000568020448744	0.011482725768440054	0.6252545824847251	0.42676082101101853	0.7594990126541833	0.07434674939126225	0.38835121753627855
3	0.3333333333333333	0.7441508445455667	0.03468985958608321	0.5239988639591026	0.004788647645790502	0.4877800407331976	0.45400217818711675	0.637366337019579	0.2423013702305401	0.5414729490264986
4	0.0	0.7103645602838109	0.043660922726658585	0.22330303890940073	0.016810409667552522	0.3482688391038697	0.21023185663580513	0.718747727625025	0.12956489159295756	0.5414729490264986
5	0.3333333333333333	0.5332394976944123	0.11276006706199296	0.6939079806873049	0.004186932758361329	0.39307535641547864	0.6255998124555664	0.13011239012169573	0.10623157291941476	0.5414729490264986
6	0.0	0.6534877763425829	0.08561103497647288	0.14037205339392217	0.09187434187434187	0.5	0.34563339057587716	0.061408029535809004	0.04161082903063461	0.5414729490264986
7	0.3333333333333333	0.8464609797295461	0.018834631893965642	0.2580232888383982	0.008963044677330393	0.32077393075356414	0.11838935642734683	0.24562048613059206	0.0	0.5280033109621337
8	0.3333333333333333	0.7448514111879656	0.05049492111163645	0.23721953990343658	0.00022564308278594063	0.18839103869653767	0.4349533100880578	0.6277343180614656	0.08860263338436347	0.5455668991014488
9	0.6666666666666667	0.8795733005681259	0.016670120243544417	0.26235444476001135	0.00806047234618663	1.0	0.402322471490676	0.2637785031427363	0.03249881250676133	0.5429732684028105
10	0.0	0.3296345683239337	0.1618765997494166	0.16650099403578533	0.053176553176553176	0.06822810590631365	0.10380896401748471	0.17945146674126972	0.1395102107750545	0.29091671826592236
11	0.3333333333333333	0.5567630616179091	0.09903678940389238	0.12794660607781883	0.03177806749235321	0.06619144602851323	0.2700300767673126	0.0	0.014210471576744616	0.4636341751442252
12	0.0	0.3793804741787735	0.19784009096195637	0.2509940357852882	0.09822995537281251	0.31262729124236255	0.52123494897482	0.15865853385563877	0.1062692626384414	0.37673836887888057
13	0.6666666666666667	0.8167707514935907	0.03606705411309068	0.2923175234308435	0.005941934513363085	0.4694501018329939	0.12943481450428662	0.6867538464771105	0.09832545791311696	0.5392761926004068
14	0.0	0.44254964652072437	0.11799491321321576	0.06255325191706901	0.13064734493305924	0.23625254582484725	0.26448153927108	0.22868390269914984	0.24674352533783137	0.5177016755048888
15	0.6666666666666667	0.9111446790295175	0.018739916049008265	0.5537489349616587	0.0023065737351451636	0.615071283095723	0.15461447590508443	0.6623593775162674	0.12427789235508593	0.48530732789462716
16	0.3333333333333333	0.7695000798753877	0.030036111609412483	0.18673672252201085	0.008850223135937422	0.6792260692464359	0.0	0.5232238513454257	0.0506940770208928	0.4660655849962438
17	0.0	0.11096241907611787	0.41294964456025757	0.3396762283442204	0.3130547059118488	0.017311608961303463	0.2803184245496116	0.5214906454573984	0.15072095263415652	0.47378880439512444
18	0.3333333333333333	0.7521507405579935	0.03463749823752611	0.3041039477421188	0.005239933811362383	0.7016293279022404	0.24808087643396398	0.7724086644347287	0.19323593649643822	0.5470603480657853
19	0.3333333333333333	0.673128338036987	0.05698836875026708	0.19078386821925591	0.08099333099333099	0.07026476578411406	0.04665368891207375	0.2443272966595445	0.05530407267255794	0.45861037821845646
20	0.3333333333333333	0.6550673277282262	0.06013520598056102	0.2709457540471457	0.06964849821992679	0.21995926680244401	0.43678853377767346	0.06243318612913402	0.023338809869605584	0.5250951669906514
21	0.6666666666666667	0.7902603269607007	0.048252632267066387	0.3302328883839819	0.0036228250513964796	0.4684317718940937	0.02077931543636652	0.5376937669579073	0.0762215036515028	0.5516095344312584
22	0.6666666666666667	0.9246088108086015	0.017186845774146114	0.3725504118148254	0.011633154490297344	0.5407331975560081	0.12330551605206663	0.3455421456569921	0.004918585447491011	0.5493981034178146
23	0.6666666666666667	0.5322628998482831	0.12247986413575712	0.3168844078386822	0.024883417740560597	0.7515274949083502	0.1801160168851827	0.491791401196059	0.31778572338425165	0.4846307659103151
24	0.3333333333333333	0.22870814931107764	0.38484786002093235	0.4178500426015337	0.547372511658226	0.03564154786150713	0.6300810035595082	1.0	0.5675966247378583	0.6156351783081098
25	0.0	0.11317019115724924	0.7024389888052962	0.5668844078386823	0.4296118938976082	0.026476578411405296	0.3164816647485442	0.256051229928952	0.09317624464081736	0.4907532699871987
26	0.3333333333333333	0.3748358443072619	0.25311207284356724	0.08712013632490773	0.20014541443112874	0.09877800407331976	0.3746145312587832	0.2992166045711777	0.050068178669430426	0.5528072605842609
27	0.6666666666666667	0.7917413128288939	0.02680229375892977	0.3523856858846919	0.006556185127613699	0.40020366598778	0.10297670944224988	0.8498164963791565	0.14107176523739132	0.554428982999712
